"x","y","z","nObs"
157647.800129814,7890446.42893017,28329,1
5806247.80012981,7787446.42893017,29001,5
5713647.80012981,7169446.42893017,32299,1
5759947.80012981,7169446.42893017,32300,63
5945147.80012981,7169446.42893017,32304,2
-3037052.19987019,7066446.42893017,32660,1
-2342552.19987019,7066446.42893017,32675,2
5759947.80012981,7066446.42893017,32850,26
5806247.80012981,7066446.42893017,32851,10
-2574052.19987019,6963446.42893017,33220,1
-3129652.19987019,6860446.42893017,33758,1
-2249952.19987019,6860446.42893017,33777,1
-2203652.19987019,6860446.42893017,33778,2
5343247.80012981,6860446.42893017,33941,1
5482147.80012981,6860446.42893017,33944,5
-2898152.19987019,6757446.42893017,34313,2
-2574052.19987019,6757446.42893017,34320,2
-2481452.19987019,6757446.42893017,34322,1
-1879552.19987019,6757446.42893017,34335,1
-1555452.19987019,6757446.42893017,34342,2
5389547.80012981,6757446.42893017,34492,6
-3407452.19987019,6654446.42893017,34852,1
-2666652.19987019,6654446.42893017,34868,11
-2527752.19987019,6654446.42893017,34871,1
-2064752.19987019,6654446.42893017,34881,18
-2018452.19987019,6654446.42893017,34882,19
-1972152.19987019,6654446.42893017,34883,36
-1925852.19987019,6654446.42893017,34884,4
-1879552.19987019,6654446.42893017,34885,2
-1786952.19987019,6654446.42893017,34887,5
-1740652.19987019,6654446.42893017,34888,2
-1694352.19987019,6654446.42893017,34889,12
-2574052.19987019,6551446.42893017,35420,20
-2527752.19987019,6551446.42893017,35421,14
-2481452.19987019,6551446.42893017,35422,4
-1925852.19987019,6551446.42893017,35434,7
-1879552.19987019,6551446.42893017,35435,1
-1833252.19987019,6551446.42893017,35436,11
-1786952.19987019,6551446.42893017,35437,17
-1740652.19987019,6551446.42893017,35438,5
-3407452.19987019,6448446.42893017,35952,3
-2805552.19987019,6448446.42893017,35965,4
-2712952.19987019,6448446.42893017,35967,1
-2527752.19987019,6448446.42893017,35971,2
-2111052.19987019,6448446.42893017,35980,15
-2064752.19987019,6448446.42893017,35981,11
-2018452.19987019,6448446.42893017,35982,2
-1972152.19987019,6448446.42893017,35983,14
-3453752.19987019,6345446.42893017,36501,1
-2898152.19987019,6345446.42893017,36513,11
-2851852.19987019,6345446.42893017,36514,12
-2527752.19987019,6345446.42893017,36521,32
-2481452.19987019,6345446.42893017,36522,21
-2435152.19987019,6345446.42893017,36523,1
-2249952.19987019,6345446.42893017,36527,1
-2203652.19987019,6345446.42893017,36528,7
-2157352.19987019,6345446.42893017,36529,3
-3546352.19987019,6242446.42893017,37049,1
-3500052.19987019,6242446.42893017,37050,1
-3175952.19987019,6242446.42893017,37057,5
-3129652.19987019,6242446.42893017,37058,9
-3083352.19987019,6242446.42893017,37059,3
-3037052.19987019,6242446.42893017,37060,3
-2944452.19987019,6242446.42893017,37062,59
-2898152.19987019,6242446.42893017,37063,3
-2435152.19987019,6242446.42893017,37073,8
-2388852.19987019,6242446.42893017,37074,2
-2296252.19987019,6242446.42893017,37076,1
-2203652.19987019,6242446.42893017,37078,22
-2157352.19987019,6242446.42893017,37079,8
-2111052.19987019,6242446.42893017,37080,16
-2018452.19987019,6242446.42893017,37082,2
-1555452.19987019,6242446.42893017,37092,15
-1138752.19987019,6242446.42893017,37101,2
-1092452.19987019,6242446.42893017,37102,5
-3500052.19987019,6139446.42893017,37600,1
-3453752.19987019,6139446.42893017,37601,1
-3175952.19987019,6139446.42893017,37607,8
-2990752.19987019,6139446.42893017,37611,3
-2666652.19987019,6139446.42893017,37618,12
-2481452.19987019,6139446.42893017,37622,11
-2435152.19987019,6139446.42893017,37623,41
-2388852.19987019,6139446.42893017,37624,8
-2249952.19987019,6139446.42893017,37627,9
-2203652.19987019,6139446.42893017,37628,20
-2157352.19987019,6139446.42893017,37629,8
-2018452.19987019,6139446.42893017,37632,2
-1509152.19987019,6139446.42893017,37643,3
-4055652.19987019,6036446.42893017,38138,1
-3453752.19987019,6036446.42893017,38151,6
-2435152.19987019,6036446.42893017,38173,9
-2388852.19987019,6036446.42893017,38174,8
-2342552.19987019,6036446.42893017,38175,5
-2249952.19987019,6036446.42893017,38177,24
-2203652.19987019,6036446.42893017,38178,2
-2111052.19987019,6036446.42893017,38180,14
-2064752.19987019,6036446.42893017,38181,4
-2018452.19987019,6036446.42893017,38182,8
-1972152.19987019,6036446.42893017,38183,22
-1925852.19987019,6036446.42893017,38184,6
-1879552.19987019,6036446.42893017,38185,2
-1509152.19987019,6036446.42893017,38193,1
-2435152.19987019,5933446.42893017,38723,12
-2388852.19987019,5933446.42893017,38724,21
-2342552.19987019,5933446.42893017,38725,4
-2249952.19987019,5933446.42893017,38727,19
-2203652.19987019,5933446.42893017,38728,9
-2157352.19987019,5933446.42893017,38729,2
-2111052.19987019,5933446.42893017,38730,7
-2064752.19987019,5933446.42893017,38731,19
-1972152.19987019,5933446.42893017,38733,2
-1925852.19987019,5933446.42893017,38734,8
-1833252.19987019,5933446.42893017,38736,18
-1138752.19987019,5933446.42893017,38751,3
-1092452.19987019,5933446.42893017,38752,14
-1046152.19987019,5933446.42893017,38753,9
-999852.199870186,5933446.42893017,38754,9
-2388852.19987019,5830446.42893017,39274,11
-2296252.19987019,5830446.42893017,39276,8
-2249952.19987019,5830446.42893017,39277,31
-2203652.19987019,5830446.42893017,39278,13
-2157352.19987019,5830446.42893017,39279,12
-2064752.19987019,5830446.42893017,39281,11
-2018452.19987019,5830446.42893017,39282,13
-1972152.19987019,5830446.42893017,39283,2
-1925852.19987019,5830446.42893017,39284,21
-1462852.19987019,5830446.42893017,39294,25
-1185052.19987019,5830446.42893017,39300,7
-1046152.19987019,5830446.42893017,39303,26
-999852.199870186,5830446.42893017,39304,18
-860952.199870186,5830446.42893017,39307,3
-814652.199870186,5830446.42893017,39308,5
-2342552.19987019,5727446.42893017,39825,17
-2296252.19987019,5727446.42893017,39826,6
-2064752.19987019,5727446.42893017,39831,8
-2018452.19987019,5727446.42893017,39832,9
-1972152.19987019,5727446.42893017,39833,27
-1925852.19987019,5727446.42893017,39834,20
-1879552.19987019,5727446.42893017,39835,13
