"x","y","z","nObs"
-1555452.19987019,5727446.42893017,39842,8
-1277652.19987019,5727446.42893017,39848,10
-1231352.19987019,5727446.42893017,39849,3
-1185052.19987019,5727446.42893017,39850,2
-1138752.19987019,5727446.42893017,39851,5
-1046152.19987019,5727446.42893017,39853,25
-999852.199870186,5727446.42893017,39854,6
-953552.199870186,5727446.42893017,39855,1
-2481452.19987019,5624446.42893017,40372,4
-2388852.19987019,5624446.42893017,40374,12
-2203652.19987019,5624446.42893017,40378,1
-2157352.19987019,5624446.42893017,40379,3
-2111052.19987019,5624446.42893017,40380,3
-2064752.19987019,5624446.42893017,40381,2
-1833252.19987019,5624446.42893017,40386,30
-1786952.19987019,5624446.42893017,40387,4
-1740652.19987019,5624446.42893017,40388,7
-1694352.19987019,5624446.42893017,40389,2
-1648052.19987019,5624446.42893017,40390,17
-1601752.19987019,5624446.42893017,40391,10
-1555452.19987019,5624446.42893017,40392,1
-1509152.19987019,5624446.42893017,40393,4
-1231352.19987019,5624446.42893017,40399,3
-1092452.19987019,5624446.42893017,40402,1
-953552.199870186,5624446.42893017,40405,22
-907252.199870186,5624446.42893017,40406,26
-814652.199870186,5624446.42893017,40408,1
111347.800129814,5624446.42893017,40428,2
2009647.80012981,5624446.42893017,40469,1
-2203652.19987019,5521446.42893017,40928,11
-2157352.19987019,5521446.42893017,40929,8
-2111052.19987019,5521446.42893017,40930,6
-2018452.19987019,5521446.42893017,40932,7
-1694352.19987019,5521446.42893017,40939,15
-1648052.19987019,5521446.42893017,40940,32
-1601752.19987019,5521446.42893017,40941,7
-1555452.19987019,5521446.42893017,40942,19
-1416552.19987019,5521446.42893017,40945,1
-1323952.19987019,5521446.42893017,40947,6
-1277652.19987019,5521446.42893017,40948,1
-1185052.19987019,5521446.42893017,40950,1
-1138752.19987019,5521446.42893017,40951,2
-768352.199870186,5521446.42893017,40959,2
-397952.199870186,5521446.42893017,40967,1
-305352.199870186,5521446.42893017,40969,3
-259052.199870186,5521446.42893017,40970,2
1639247.80012981,5521446.42893017,41011,3
1778147.80012981,5521446.42893017,41014,4
1824447.80012981,5521446.42893017,41015,1
2241147.80012981,5521446.42893017,41024,4
-2342552.19987019,5418446.42893017,41475,1
-2249952.19987019,5418446.42893017,41477,6
-2203652.19987019,5418446.42893017,41478,1
-2157352.19987019,5418446.42893017,41479,13
-1972152.19987019,5418446.42893017,41483,19
-1925852.19987019,5418446.42893017,41484,5
-1879552.19987019,5418446.42893017,41485,7
-1786952.19987019,5418446.42893017,41487,14
-1740652.19987019,5418446.42893017,41488,13
-1694352.19987019,5418446.42893017,41489,6
-1648052.19987019,5418446.42893017,41490,1
-1370252.19987019,5418446.42893017,41496,1
-1323952.19987019,5418446.42893017,41497,4
-907252.199870186,5418446.42893017,41506,13
-444252.199870186,5418446.42893017,41516,3
-120152.199870186,5418446.42893017,41523,2
111347.800129814,5418446.42893017,41528,15
157647.800129814,5418446.42893017,41529,6
2380047.80012981,5418446.42893017,41577,3
6732247.80012981,5418446.42893017,41671,2
-2388852.19987019,5315446.42893017,42024,3
-2342552.19987019,5315446.42893017,42025,14
-2296252.19987019,5315446.42893017,42026,5
-2249952.19987019,5315446.42893017,42027,5
-2203652.19987019,5315446.42893017,42028,4
-2157352.19987019,5315446.42893017,42029,6
-2111052.19987019,5315446.42893017,42030,7
-2064752.19987019,5315446.42893017,42031,5
-2018452.19987019,5315446.42893017,42032,2
-1972152.19987019,5315446.42893017,42033,12
-1925852.19987019,5315446.42893017,42034,50
-1879552.19987019,5315446.42893017,42035,28
-1833252.19987019,5315446.42893017,42036,36
-1740652.19987019,5315446.42893017,42038,2
-1694352.19987019,5315446.42893017,42039,17
-1648052.19987019,5315446.42893017,42040,32
-1601752.19987019,5315446.42893017,42041,24
-1555452.19987019,5315446.42893017,42042,4
-1462852.19987019,5315446.42893017,42044,1
-1416552.19987019,5315446.42893017,42045,2
-1370252.19987019,5315446.42893017,42046,2
-1323952.19987019,5315446.42893017,42047,1
-1277652.19987019,5315446.42893017,42048,3
157647.800129814,5315446.42893017,42079,4
250247.800129814,5315446.42893017,42081,2
2380047.80012981,5315446.42893017,42127,1
2426347.80012981,5315446.42893017,42128,13
7010047.80012981,5315446.42893017,42227,1
-2481452.19987019,5212446.42893017,42572,17
-2435152.19987019,5212446.42893017,42573,14
-2388852.19987019,5212446.42893017,42574,4
-2342552.19987019,5212446.42893017,42575,16
-2296252.19987019,5212446.42893017,42576,4
-2249952.19987019,5212446.42893017,42577,11
-2203652.19987019,5212446.42893017,42578,12
-2157352.19987019,5212446.42893017,42579,10
-2111052.19987019,5212446.42893017,42580,57
-2064752.19987019,5212446.42893017,42581,9
-2018452.19987019,5212446.42893017,42582,8
-1972152.19987019,5212446.42893017,42583,16
-1925852.19987019,5212446.42893017,42584,8
-1879552.19987019,5212446.42893017,42585,48
-1833252.19987019,5212446.42893017,42586,69
-1786952.19987019,5212446.42893017,42587,1
-1740652.19987019,5212446.42893017,42588,10
-1694352.19987019,5212446.42893017,42589,20
-1648052.19987019,5212446.42893017,42590,22
-1601752.19987019,5212446.42893017,42591,24
-1555452.19987019,5212446.42893017,42592,9
-1509152.19987019,5212446.42893017,42593,7
-1370252.19987019,5212446.42893017,42596,11
-1323952.19987019,5212446.42893017,42597,9
-1231352.19987019,5212446.42893017,42599,4
-1138752.19987019,5212446.42893017,42601,10
-1046152.19987019,5212446.42893017,42603,1
-953552.199870186,5212446.42893017,42605,12
-768352.199870186,5212446.42893017,42609,1
-490552.199870186,5212446.42893017,42615,6
-444252.199870186,5212446.42893017,42616,2
-397952.199870186,5212446.42893017,42617,1
18747.8001298141,5212446.42893017,42626,1
65047.8001298141,5212446.42893017,42627,5
111347.800129814,5212446.42893017,42628,7
157647.800129814,5212446.42893017,42629,26
435447.800129814,5212446.42893017,42635,1
481747.800129814,5212446.42893017,42636,8
528047.800129814,5212446.42893017,42637,1
1361447.80012981,5212446.42893017,42655,5
1963347.80012981,5212446.42893017,42668,2
2009647.80012981,5212446.42893017,42669,2
2518947.80012981,5212446.42893017,42680,7
2704147.80012981,5212446.42893017,42684,12
7056347.80012981,5212446.42893017,42778,1
-2527752.19987019,5109446.42893017,43121,5
-2481452.19987019,5109446.42893017,43122,8
-2342552.19987019,5109446.42893017,43125,1
-2249952.19987019,5109446.42893017,43127,1
-2111052.19987019,5109446.42893017,43130,1
-2064752.19987019,5109446.42893017,43131,8
-2018452.19987019,5109446.42893017,43132,28
-1972152.19987019,5109446.42893017,43133,24
-1925852.19987019,5109446.42893017,43134,60
-1879552.19987019,5109446.42893017,43135,88
-1833252.19987019,5109446.42893017,43136,55
-1786952.19987019,5109446.42893017,43137,42
-1740652.19987019,5109446.42893017,43138,27
-1694352.19987019,5109446.42893017,43139,13
-1648052.19987019,5109446.42893017,43140,20
-1601752.19987019,5109446.42893017,43141,11
-1555452.19987019,5109446.42893017,43142,2
-1416552.19987019,5109446.42893017,43145,15
-1323952.19987019,5109446.42893017,43147,1
-1231352.19987019,5109446.42893017,43149,30
-1185052.19987019,5109446.42893017,43150,6
-1138752.19987019,5109446.42893017,43151,4
-1092452.19987019,5109446.42893017,43152,21
-1046152.19987019,5109446.42893017,43153,15
-629452.199870186,5109446.42893017,43162,4
-583152.199870186,5109446.42893017,43163,21
-536852.199870186,5109446.42893017,43164,2
-166452.199870186,5109446.42893017,43172,1
-73852.1998701859,5109446.42893017,43174,12
18747.8001298141,5109446.42893017,43176,5
65047.8001298141,5109446.42893017,43177,1
574347.800129814,5109446.42893017,43188,16
666947.800129814,5109446.42893017,43190,4
759547.800129814,5109446.42893017,43192,3
852147.800129814,5109446.42893017,43194,4
898447.800129814,5109446.42893017,43195,2
944747.800129814,5109446.42893017,43196,11
1268847.80012981,5109446.42893017,43203,13
2518947.80012981,5109446.42893017,43230,14
2889347.80012981,5109446.42893017,43238,9
2935647.80012981,5109446.42893017,43239,1
-2527752.19987019,5006446.42893017,43671,1
-2296252.19987019,5006446.42893017,43676,3
-2249952.19987019,5006446.42893017,43677,2
-2203652.19987019,5006446.42893017,43678,6
-2157352.19987019,5006446.42893017,43679,2
-2111052.19987019,5006446.42893017,43680,20
-2064752.19987019,5006446.42893017,43681,27
-2018452.19987019,5006446.42893017,43682,21
-1972152.19987019,5006446.42893017,43683,11
-1925852.19987019,5006446.42893017,43684,65
-1879552.19987019,5006446.42893017,43685,62
-1833252.19987019,5006446.42893017,43686,22
-1786952.19987019,5006446.42893017,43687,37
-1740652.19987019,5006446.42893017,43688,23
-1694352.19987019,5006446.42893017,43689,21
-1648052.19987019,5006446.42893017,43690,19
-1601752.19987019,5006446.42893017,43691,1
-1555452.19987019,5006446.42893017,43692,3
-1509152.19987019,5006446.42893017,43693,7
-1462852.19987019,5006446.42893017,43694,35
-1416552.19987019,5006446.42893017,43695,5
-1370252.19987019,5006446.42893017,43696,4
-1323952.19987019,5006446.42893017,43697,24
-1277652.19987019,5006446.42893017,43698,8
-1231352.19987019,5006446.42893017,43699,12
-1185052.19987019,5006446.42893017,43700,59
-1138752.19987019,5006446.42893017,43701,9
-1092452.19987019,5006446.42893017,43702,6
-1046152.19987019,5006446.42893017,43703,2
-999852.199870186,5006446.42893017,43704,1
-953552.199870186,5006446.42893017,43705,14
-768352.199870186,5006446.42893017,43709,7
-722052.199870186,5006446.42893017,43710,51
-675752.199870186,5006446.42893017,43711,24
-583152.199870186,5006446.42893017,43713,28
-536852.199870186,5006446.42893017,43714,5
-397952.199870186,5006446.42893017,43717,11
-351652.199870186,5006446.42893017,43718,10
-305352.199870186,5006446.42893017,43719,3
-259052.199870186,5006446.42893017,43720,4
-166452.199870186,5006446.42893017,43722,11
759547.800129814,5006446.42893017,43742,3
805847.800129814,5006446.42893017,43743,4
944747.800129814,5006446.42893017,43746,5
991047.800129814,5006446.42893017,43747,1
1222547.80012981,5006446.42893017,43752,12
1268847.80012981,5006446.42893017,43753,10
1315147.80012981,5006446.42893017,43754,13
1361447.80012981,5006446.42893017,43755,25
1824447.80012981,5006446.42893017,43765,2
2102247.80012981,5006446.42893017,43771,14
2843047.80012981,5006446.42893017,43787,6
2889347.80012981,5006446.42893017,43788,1
2935647.80012981,5006446.42893017,43789,14
-2296252.19987019,4903446.42893017,44226,5
-2203652.19987019,4903446.42893017,44228,1
-2111052.19987019,4903446.42893017,44230,16
-2064752.19987019,4903446.42893017,44231,10
-2018452.19987019,4903446.42893017,44232,33
-1972152.19987019,4903446.42893017,44233,19
-1925852.19987019,4903446.42893017,44234,29
-1879552.19987019,4903446.42893017,44235,55
-1833252.19987019,4903446.42893017,44236,59
-1786952.19987019,4903446.42893017,44237,110
-1740652.19987019,4903446.42893017,44238,36
-1694352.19987019,4903446.42893017,44239,16
-1648052.19987019,4903446.42893017,44240,2
-1601752.19987019,4903446.42893017,44241,27
-1555452.19987019,4903446.42893017,44242,21
-1509152.19987019,4903446.42893017,44243,9
-1416552.19987019,4903446.42893017,44245,10
-1370252.19987019,4903446.42893017,44246,11
-1323952.19987019,4903446.42893017,44247,10
-1277652.19987019,4903446.42893017,44248,3
-1231352.19987019,4903446.42893017,44249,53
-1185052.19987019,4903446.42893017,44250,17
-1138752.19987019,4903446.42893017,44251,14
-1092452.19987019,4903446.42893017,44252,2
-1046152.19987019,4903446.42893017,44253,7
-999852.199870186,4903446.42893017,44254,5
-953552.199870186,4903446.42893017,44255,7
-907252.199870186,4903446.42893017,44256,1
-860952.199870186,4903446.42893017,44257,7
-768352.199870186,4903446.42893017,44259,9
-722052.199870186,4903446.42893017,44260,75
-675752.199870186,4903446.42893017,44261,112
-629452.199870186,4903446.42893017,44262,1
-583152.199870186,4903446.42893017,44263,4
-351652.199870186,4903446.42893017,44268,45
-305352.199870186,4903446.42893017,44269,6
-212752.199870186,4903446.42893017,44271,1
-120152.199870186,4903446.42893017,44273,5
18747.8001298141,4903446.42893017,44276,1
1407747.80012981,4903446.42893017,44306,5
1592947.80012981,4903446.42893017,44310,5
2102247.80012981,4903446.42893017,44321,1
2750447.80012981,4903446.42893017,44335,1
2796747.80012981,4903446.42893017,44336,1
2843047.80012981,4903446.42893017,44337,3
2935647.80012981,4903446.42893017,44339,7
2981947.80012981,4903446.42893017,44340,2
-2342552.19987019,4800446.42893017,44775,13
-2296252.19987019,4800446.42893017,44776,17
-2249952.19987019,4800446.42893017,44777,25
-2203652.19987019,4800446.42893017,44778,5
-2111052.19987019,4800446.42893017,44780,1
-2064752.19987019,4800446.42893017,44781,1
-2018452.19987019,4800446.42893017,44782,1
-1972152.19987019,4800446.42893017,44783,5
-1925852.19987019,4800446.42893017,44784,11
-1879552.19987019,4800446.42893017,44785,38
-1833252.19987019,4800446.42893017,44786,25
-1786952.19987019,4800446.42893017,44787,56
-1740652.19987019,4800446.42893017,44788,34
-1694352.19987019,4800446.42893017,44789,3
-1648052.19987019,4800446.42893017,44790,14
-1601752.19987019,4800446.42893017,44791,15
-1555452.19987019,4800446.42893017,44792,56
-1509152.19987019,4800446.42893017,44793,14
-1462852.19987019,4800446.42893017,44794,45
-1416552.19987019,4800446.42893017,44795,58
-1370252.19987019,4800446.42893017,44796,8
-1323952.19987019,4800446.42893017,44797,38
-1277652.19987019,4800446.42893017,44798,27
-1231352.19987019,4800446.42893017,44799,44
-1185052.19987019,4800446.42893017,44800,17
-1138752.19987019,4800446.42893017,44801,1
-999852.199870186,4800446.42893017,44804,12
-953552.199870186,4800446.42893017,44805,9
-907252.199870186,4800446.42893017,44806,2
-860952.199870186,4800446.42893017,44807,2
-814652.199870186,4800446.42893017,44808,9
-768352.199870186,4800446.42893017,44809,165
-722052.199870186,4800446.42893017,44810,64
-675752.199870186,4800446.42893017,44811,8
-629452.199870186,4800446.42893017,44812,25
-583152.199870186,4800446.42893017,44813,1
-536852.199870186,4800446.42893017,44814,1
-397952.199870186,4800446.42893017,44817,3
-351652.199870186,4800446.42893017,44818,13
-305352.199870186,4800446.42893017,44819,1
-166452.199870186,4800446.42893017,44822,1
-73852.1998701859,4800446.42893017,44824,8
18747.8001298141,4800446.42893017,44826,2
65047.8001298141,4800446.42893017,44827,7
203947.800129814,4800446.42893017,44830,47
342847.800129814,4800446.42893017,44833,1
620647.800129814,4800446.42893017,44839,21
1037347.80012981,4800446.42893017,44848,5
1083647.80012981,4800446.42893017,44849,25
1129947.80012981,4800446.42893017,44850,4
1176247.80012981,4800446.42893017,44851,14
1268847.80012981,4800446.42893017,44853,9
1407747.80012981,4800446.42893017,44856,6
1454047.80012981,4800446.42893017,44857,8
1592947.80012981,4800446.42893017,44860,1
2241147.80012981,4800446.42893017,44874,9
2287447.80012981,4800446.42893017,44875,3
2333747.80012981,4800446.42893017,44876,10
2426347.80012981,4800446.42893017,44878,19
2518947.80012981,4800446.42893017,44880,6
2565247.80012981,4800446.42893017,44881,13
2611547.80012981,4800446.42893017,44882,7
2657847.80012981,4800446.42893017,44883,1
2843047.80012981,4800446.42893017,44887,13
2889347.80012981,4800446.42893017,44888,62
2935647.80012981,4800446.42893017,44889,22
2981947.80012981,4800446.42893017,44890,2
3028247.80012981,4800446.42893017,44891,15
3074547.80012981,4800446.42893017,44892,21
3120847.80012981,4800446.42893017,44893,24
3167147.80012981,4800446.42893017,44894,18
3213447.80012981,4800446.42893017,44895,32
3259747.80012981,4800446.42893017,44896,1
-2296252.19987019,4697446.42893017,45326,7
-2249952.19987019,4697446.42893017,45327,3
-2203652.19987019,4697446.42893017,45328,54
-2157352.19987019,4697446.42893017,45329,53
-2111052.19987019,4697446.42893017,45330,46
-2064752.19987019,4697446.42893017,45331,32
-2018452.19987019,4697446.42893017,45332,35
-1972152.19987019,4697446.42893017,45333,30
-1925852.19987019,4697446.42893017,45334,7
-1879552.19987019,4697446.42893017,45335,43
-1833252.19987019,4697446.42893017,45336,35
-1786952.19987019,4697446.42893017,45337,117
-1740652.19987019,4697446.42893017,45338,109
-1694352.19987019,4697446.42893017,45339,147
-1648052.19987019,4697446.42893017,45340,19
-1601752.19987019,4697446.42893017,45341,22
-1555452.19987019,4697446.42893017,45342,3
-1509152.19987019,4697446.42893017,45343,71
-1462852.19987019,4697446.42893017,45344,103
-1416552.19987019,4697446.42893017,45345,59
-1370252.19987019,4697446.42893017,45346,74
-1323952.19987019,4697446.42893017,45347,41
-1277652.19987019,4697446.42893017,45348,46
-1231352.19987019,4697446.42893017,45349,18
-1185052.19987019,4697446.42893017,45350,13
-1138752.19987019,4697446.42893017,45351,10
-1092452.19987019,4697446.42893017,45352,5
-1046152.19987019,4697446.42893017,45353,5
-999852.199870186,4697446.42893017,45354,5
-953552.199870186,4697446.42893017,45355,5
-907252.199870186,4697446.42893017,45356,6
-860952.199870186,4697446.42893017,45357,2
-768352.199870186,4697446.42893017,45359,13
-722052.199870186,4697446.42893017,45360,20
-675752.199870186,4697446.42893017,45361,14
-583152.199870186,4697446.42893017,45363,1
-536852.199870186,4697446.42893017,45364,4
-444252.199870186,4697446.42893017,45366,16
-397952.199870186,4697446.42893017,45367,7
-351652.199870186,4697446.42893017,45368,36
-305352.199870186,4697446.42893017,45369,17
-259052.199870186,4697446.42893017,45370,8
-212752.199870186,4697446.42893017,45371,6
-166452.199870186,4697446.42893017,45372,2
-27552.1998701859,4697446.42893017,45375,25
65047.8001298141,4697446.42893017,45377,5
203947.800129814,4697446.42893017,45380,6
481747.800129814,4697446.42893017,45386,10
805847.800129814,4697446.42893017,45393,11
898447.800129814,4697446.42893017,45395,1
1129947.80012981,4697446.42893017,45400,3
1176247.80012981,4697446.42893017,45401,32
1222547.80012981,4697446.42893017,45402,2
1315147.80012981,4697446.42893017,45404,9
1639247.80012981,4697446.42893017,45411,1
1685547.80012981,4697446.42893017,45412,39
2194847.80012981,4697446.42893017,45423,6
2287447.80012981,4697446.42893017,45425,1
2380047.80012981,4697446.42893017,45427,13
2426347.80012981,4697446.42893017,45428,27
2472647.80012981,4697446.42893017,45429,8
2518947.80012981,4697446.42893017,45430,3
2565247.80012981,4697446.42893017,45431,13
2611547.80012981,4697446.42893017,45432,3
2657847.80012981,4697446.42893017,45433,24
2889347.80012981,4697446.42893017,45438,23
2935647.80012981,4697446.42893017,45439,13
2981947.80012981,4697446.42893017,45440,8
3167147.80012981,4697446.42893017,45444,1
3213447.80012981,4697446.42893017,45445,1
3259747.80012981,4697446.42893017,45446,6
3306047.80012981,4697446.42893017,45447,59
3352347.80012981,4697446.42893017,45448,17
-2249952.19987019,4594446.42893017,45877,13
-2203652.19987019,4594446.42893017,45878,15
-2157352.19987019,4594446.42893017,45879,69
-2111052.19987019,4594446.42893017,45880,146
-2064752.19987019,4594446.42893017,45881,161
-2018452.19987019,4594446.42893017,45882,196
-1972152.19987019,4594446.42893017,45883,142
-1925852.19987019,4594446.42893017,45884,129
-1879552.19987019,4594446.42893017,45885,62
-1833252.19987019,4594446.42893017,45886,45
-1786952.19987019,4594446.42893017,45887,157
-1740652.19987019,4594446.42893017,45888,185
-1694352.19987019,4594446.42893017,45889,59
-1648052.19987019,4594446.42893017,45890,40
-1601752.19987019,4594446.42893017,45891,58
-1555452.19987019,4594446.42893017,45892,37
-1509152.19987019,4594446.42893017,45893,11
-1462852.19987019,4594446.42893017,45894,88
-1416552.19987019,4594446.42893017,45895,44
-1370252.19987019,4594446.42893017,45896,10
-1323952.19987019,4594446.42893017,45897,27
-1277652.19987019,4594446.42893017,45898,24
-1231352.19987019,4594446.42893017,45899,19
-1185052.19987019,4594446.42893017,45900,8
-1138752.19987019,4594446.42893017,45901,10
-1092452.19987019,4594446.42893017,45902,16
-1046152.19987019,4594446.42893017,45903,15
-999852.199870186,4594446.42893017,45904,10
-953552.199870186,4594446.42893017,45905,2
-907252.199870186,4594446.42893017,45906,4
-860952.199870186,4594446.42893017,45907,40
-814652.199870186,4594446.42893017,45908,8
-722052.199870186,4594446.42893017,45910,9
-675752.199870186,4594446.42893017,45911,2
-629452.199870186,4594446.42893017,45912,33
-583152.199870186,4594446.42893017,45913,24
-444252.199870186,4594446.42893017,45916,4
-397952.199870186,4594446.42893017,45917,9
-351652.199870186,4594446.42893017,45918,1
-305352.199870186,4594446.42893017,45919,46
-259052.199870186,4594446.42893017,45920,44
-212752.199870186,4594446.42893017,45921,7
-166452.199870186,4594446.42893017,45922,29
-120152.199870186,4594446.42893017,45923,13
-73852.1998701859,4594446.42893017,45924,31
-27552.1998701859,4594446.42893017,45925,217
18747.8001298141,4594446.42893017,45926,191
65047.8001298141,4594446.42893017,45927,119
342847.800129814,4594446.42893017,45933,22
435447.800129814,4594446.42893017,45935,5
528047.800129814,4594446.42893017,45937,2
574347.800129814,4594446.42893017,45938,10
620647.800129814,4594446.42893017,45939,7
666947.800129814,4594446.42893017,45940,3
713247.800129814,4594446.42893017,45941,1
852147.800129814,4594446.42893017,45944,1
1083647.80012981,4594446.42893017,45949,32
1129947.80012981,4594446.42893017,45950,8
1268847.80012981,4594446.42893017,45953,3
1361447.80012981,4594446.42893017,45955,12
1407747.80012981,4594446.42893017,45956,1
1454047.80012981,4594446.42893017,45957,1
1500347.80012981,4594446.42893017,45958,2
1546647.80012981,4594446.42893017,45959,5
1592947.80012981,4594446.42893017,45960,8
1639247.80012981,4594446.42893017,45961,4
1685547.80012981,4594446.42893017,45962,13
1824447.80012981,4594446.42893017,45965,7
2009647.80012981,4594446.42893017,45969,22
2148547.80012981,4594446.42893017,45972,25
2194847.80012981,4594446.42893017,45973,47
2241147.80012981,4594446.42893017,45974,3
2287447.80012981,4594446.42893017,45975,18
2333747.80012981,4594446.42893017,45976,19
2380047.80012981,4594446.42893017,45977,37
2426347.80012981,4594446.42893017,45978,9
2472647.80012981,4594446.42893017,45979,32
2704147.80012981,4594446.42893017,45984,13
