"binomial","LL","rangeSize","Fst","minLat","maxLat","latDif"
"Cordulia_shurtleffii","Lentic",557424,"Non Forest",35.1374999999408,67.3874999994398,32.249999999499
"Coryphaeschna_adnexa","Lentic",391732,"Forest",-29.9041666657155,35.1374999999408,65.0416666656563
"Coryphaeschna_apeora","Lentic",10516,"Non Forest",9.59583333367087,27.3041666667291,17.7083333330582
"Coryphaeschna_diapyra","Lentic",38411,"Non Forest",-1.15416666616214,22.3875000001388,23.5416666663009
"Coryphaeschna_ingens","Lentic",79581,"Non Forest",24.5125000001058,37.6374999999019,13.1249999997961
"Coryphaeschna_viriditas","Lentic",390024,"Non Forest",-24.487499999133,30.8875000000068,55.3749999991398
"Crocothemis_servilia","Lentic",336521,"Non Forest",19.3041666668534,47.0541666664223,27.7499999995689
"Didymops_floridensis","Lotic",5875,"Non Forest",26.3875000000767,32.0958333333214,5.7083333332447
"Didymops_transversa","Lotic",308927,"Non Forest",27.7625000000553,51.8041666663485,24.0416666662932
"Dorocordulia_lepida","Lentic",36105,"Non Forest",37.3874999999058,47.4291666664165,10.0416666665107
"Dorocordulia_libera","Lentic",176712,"Non Forest",38.7624999998845,53.9291666663155,15.166666666431
"Dromogomphus_armatus","Lotic",29707,"Forest",27.6791666667233,36.2208333332573,8.541666666534
"Dromogomphus_spinosus","Lotic",297084,"Forest",26.30417,51.9291666663466,25.6249966663466
"Dromogomphus_spoliatus","Lotic",145084,"Non Forest",21.8875000001466,43.7624999998068,21.8749999996602
"Dythemis_fugax","Lentic",81565,"Non Forest",23.0958333334612,40.4708333331913,17.3749999997301
"Dythemis_maya","Lentic",39245,"Non Forest",17.2208333335524,33.3041666666359,16.0833333330835
"Dythemis_nigra","Lentic",146057,"Non Forest",-28.0291666657447,23.8458333334495,51.8749999991942
"Dythemis_nigrescens","Lentic",114253,"Non Forest",16.8458333335582,37.845833333232,20.9999999996738
"Dythemis_sterilis","Lentic",114452,"Non Forest",-12.8624999993136,28.0125000000515,40.8749999993651
"Dythemis_velox","Lentic",294929,"Non Forest",17.0541666668883,51.9708333330126,34.9166666661243
"Enallagma_anna","Lotic",151169,"Non Forest",33.0958333333058,52.3874999996728,19.291666666367
"Enallagma_annexum","Lentic",700470,"Non Forest",29.4291666666961,69.5958333327388,40.1666666660427
"Enallagma_antennatum","Lotic",165175,"Non Forest",34.6374999999485,50.8041666663641,16.1666666664156
"Enallagma_aspersum","Lentic",204030,"Non Forest",29.3458333333641,47.8874999997427,18.5416666663786
"Enallagma_basidens","Lentic",254260,"Non Forest",21.5958333334845,45.8458333331078,24.2499999996233
"Enallagma_boreale","Lentic",881675,"Non Forest",30.0541666666864,69.6374999994049,39.5833333327185
"Enallagma_cardenium","Lotic",5370,"Non Forest",25.1375000000961,31.7208333333272,6.5833333332311
"Enallagma_carunculatum","Lentic",500931,"Non Forest",30.2208333333505,55.4708333329583,25.2499999996078
"Enallagma_civile","Lentic",650856,"Non Forest",4.97083333374272,52.9291666663311,47.9583333325884
"Enallagma_clausum","Lentic",352965,"Non Forest",32.4291666666495,56.5124999996087,24.0833333329592
"Enallagma_concisum","Lentic",14562,"Non Forest",26.0541666667485,35.679166666599,9.6249999998505
"Enallagma_daeckii","Lentic",94331,"Non Forest",26.5125000000748,43.1791666664825,16.6666666664077
"Enallagma_davisi","Lentic",17387,"Non Forest",27.8458333333874,36.2208333332573,8.3749999998699
"Enallagma_divagans","Lotic",152174,"Forest",26.929166666735,45.7208333331097,18.7916666663747
"Enallagma_doubledayi","Lentic",86183,"Non Forest",24.845833333434,43.3041666664806,18.4583333330466
"Enallagma_dubium","Lentic",63787,"Non Forest",28.7625000000398,39.0124999998806,10.2499999998408
"Enallagma_durum","Lentic",65811,"Non Forest",25.4291666667582,45.5958333331116,20.1666666663534
"Enallagma_ebrium","Lentic",365245,"Non Forest",35.9708333332612,59.137499999568,23.1666666663068
"Enallagma_eiseni","Lotic",16662,"Non Forest",22.845833333465,34.0124999999583,11.1666666664933
"Enallagma_exsulans","Lotic",251607,"Non Forest",28.0541666667175,50.8458333330301,22.7916666663126
"Enallagma_geminatum","Lentic",238361,"Non Forest",28.0958333333835,49.3458333330534,21.2499999996699
"Enallagma_hageni","Lentic",287949,"Non Forest",34.6791666666146,57.054166666267,22.3749999996524
"Enallagma_laterale","Lentic",12889,"Non Forest",39.2208333332107,46.0541666664379,6.8333333332272
"Enallagma_minusculum","Lentic",17632,"Non Forest",38.7624999998845,47.8041666664107,9.0416666665262
"Enallagma_novaehispaniae","Lotic",103254,"Non Forest",-28.3624999990728,34.9291666666107,63.2916666656835
"Enallagma_pallidum","Lentic",20684,"Non Forest",27.054166666733,39.6374999998709,12.5833333331379
"Enallagma_pictum","Lentic",4264,"Non Forest",38.7624999998845,45.6791666664437,6.9166666665592
"Enallagma_pollutum","Lentic",5226,"Non Forest",24.5958333334379,33.4708333333,8.8749999998621
"Enallagma_praevarum","Lotic",234059,"Non Forest",15.6375000002437,50.0958333330417,34.458333332798
"Enallagma_recurvatum","Lentic",1712,"Non Forest",38.7208333332184,44.304166666465,5.5833333332466
"Enallagma_semicirculare","Lentic",23245,"Non Forest",17.1375000002204,33.8458333332942,16.7083333330738
"Enallagma_signatum","Lentic",251647,"Non Forest",23.0958333334612,48.6791666663971,25.5833333329359
"Enallagma_sulcatum","Lentic",7500,"Non Forest",26.5125000000748,34.9708333332767,8.4583333332019
