"binomial","LL","rangeSize","Fst","minLat","maxLat","latDif"
"Lestes_disjunctus","Lentic",661522,"Non Forest",32.9291666666417,69.0958333327466,36.1666666661049
"Lestes_dryas","Lentic",985160,"Non Forest",32.2624999999854,67.720833332768,35.4583333327826
"Lestes_eurinus","Lentic",188107,"Non Forest",33.9291666666262,49.8458333330456,15.9166666664194
"Lestes_forcipatus","Lentic",310422,"Non Forest",32.7208333333116,55.8874999996184,23.1666666663068
"Lestes_forficula","Lentic",388605,"Non Forest",-27.8624999990806,34.3041666666204,62.166666665701
"Lestes_inaequalis","Lentic",145157,"Non Forest",28.8041666667058,51.3874999996883,22.5833333329825
"Lestes_rectangularis","Lentic",220764,"Non Forest",28.4291666667117,53.0124999996631,24.5833333329514
"Lestes_sigma","Lentic",81683,"Non Forest",9.51250000033883,34.8874999999447,25.3749999996059
"Lestes_tenuatus","Lentic",85340,"Non Forest",-3.02916666613301,28.8875000000379,31.9166666661709
"Lestes_unguiculatus","Lentic",525649,"Non Forest",32.5124999999816,60.6374999995447,28.1249999995631
"Lestes_vigilax","Lentic",176125,"Non Forest",25.3041666667602,48.7208333330631,23.4166666663029
"Leucorrhinia_borealis","Lentic",195459,"Non Forest",35.67917,66.9291666661136,31.2499966661136
"Leucorrhinia_frigida","Lentic",149540,"Non Forest",37.4291666665718,51.5958333330184,14.1666666664466
"Leucorrhinia_glacialis","Lentic",354012,"Non Forest",36.7208333332495,66.4291666661214,29.7083333328719
"Leucorrhinia_hudsonica","Lentic",692497,"Non Forest",35.1791666666068,69.7208333327369,34.5416666661301
"Leucorrhinia_intacta","Lentic",500225,"Non Forest",34.7624999999466,60.0958333328864,25.3333333329398
"Leucorrhinia_patricia","Lentic",285123,"Non Forest",44.220833333133,69.6374999994049,25.4166666662719
"Leucorrhinia_proxima","Lentic",400556,"Non Forest",36.6374999999175,69.7208333327369,33.0833333328194
"Libellula_auripennis","Lentic",149150,"Non Forest",25.4708333334243,43.5541666664767,18.0833333330524
"Libellula_axilena","Lentic",119727,"Forest",25.6375000000883,43.1791666664825,17.5416666663942
"Libellula_coahuiltecana","Lentic",32,"Non Forest",26.5958333334068,27.095833333399,0.499999999992198
"Libellula_comanche","Lentic",93359,"Non Forest",24.929166666766,44.262499999799,19.333333333033
"Libellula_composita","Lentic",121599,"Non Forest",25.9708333334165,44.0541666664689,18.0833333330524
"Libellula_croceipennis","Lentic",190105,"Non Forest",9.55416666700485,41.7208333331718,32.1666666661669
"Libellula_cyanea","Lentic",128120,"Non Forest",28.9708333333699,47.3458333330845,18.3749999997146
"Libellula_flavida","Lentic",128280,"Non Forest",28.8875000000379,42.095833333166,13.2083333331281
"Libellula_foliata","Lentic",1244,"Non Forest",9.26250000034271,16.387500000232,7.12499999988929
"Libellula_forensis","Lentic",196746,"Non Forest",31.4708333333311,51.3874999996883,19.9166666663572
"Libellula_gaigei","Lentic",9336,"Non Forest",15.5958333335777,26.929166666735,11.3333333331573
"Libellula_incesta","Lentic",193306,"Non Forest",24.5125000001058,47.3874999997505,22.8749999996447
"Libellula_jesseana","Lentic",3234,"Non Forest",26.5125000000748,30.8875000000068,4.374999999932
"Libellula_luctuosa","Lentic",407082,"Non Forest",24.6375000001039,51.9708333330126,27.3333333329087
"Libellula_needhami","Lentic",28397,"Non Forest",21.6375000001505,44.220833333133,22.5833333329825
"Libellula_nodisticta","Lentic",140129,"Non Forest",18.512500000199,44.220833333133,25.708333332934
"Libellula_pulchella","Lentic",507104,"Non Forest",25.1375000000961,52.679166666335,27.5416666662389
"Libellula_quadrimaculata","Lentic",2014379,"Non Forest",27.012500000067,71.0124999993835,43.9999999993165
"Libellula_saturata","Lentic",391606,"Non Forest",17.6375000002126,49.1374999997233,31.4999999995107
"Libellula_semifasciata","Lentic",157929,"Non Forest",27.6375000000573,46.304166666434,18.6666666663767
"Libellula_vibrans","Lentic",95586,"Non Forest",25.2625000000942,45.6791666664437,20.4166666663495
"Macrodiplax_balteata","Lentic",120938,"Non Forest",17.4708333335485,38.3041666665583,20.8333333330098
"Macromia_alleghaniensis","Lotic",63837,"Non Forest",30.3041666666825,42.6791666664903,12.3749999998078
"Macromia_annulata","Lotic",24005,"Non Forest",21.3458333334884,35.595833333267,14.2499999997786
"Macromia_illinoiensis","Lotic",292685,"Non Forest",26.3458333334107,52.5124999996709,26.1666666662602
"Macromia_magnifica","Lotic",136495,"Non Forest",19.6791666668476,52.3874999996728,32.7083333328252
